category,airdate,created_at,question,updated_at,value,answer,game_id,category_id,invalid_count,id
"{u'updated_at': u'2014-02-11T22:47:20.291Z', u'created_at': u'2014-02-11T22:47:20.291Z', u'id': 14, u'clues_count': 5, u'title': u'ancient worlds'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.675Z,Civilization of sailors that developed 1st Western alphabet,2014-02-11T22:47:20.675Z,500,the Phoenicians,,14,,86
"{u'updated_at': u'2014-02-11T22:47:20.302Z', u'created_at': u'2014-02-11T22:47:20.302Z', u'id': 15, u'clues_count': 5, u'title': u'hollywood legends'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.687Z,"Oliver Hardy's co-star in ""The Fighting Kentuckian""",2014-02-11T22:47:20.687Z,500,John Wayne,,15,,87
"{u'updated_at': u'2014-02-11T22:47:20.318Z', u'created_at': u'2014-02-11T22:47:20.318Z', u'id': 16, u'clues_count': 35, u'title': u'cars'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.699Z,,2014-02-11T22:47:20.699Z,,John Wayne,,16,,88
"{u'updated_at': u'2014-02-11T22:47:20.329Z', u'created_at': u'2014-02-11T22:47:20.329Z', u'id': 17, u'clues_count': 110, u'title': u'u.s. states'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.711Z,"8th state of the Union, it was the 1st state to secede",2014-02-11T22:47:20.711Z,500,South Carolina,,17,,89
"{u'updated_at': u'2014-02-11T22:47:20.340Z', u'created_at': u'2014-02-11T22:47:20.340Z', u'id': 18, u'clues_count': 5, u'title': u'""hard""'}",1984-12-12T12:00:00.000Z,2014-02-11T22:47:20.723Z,"Album & film featuring ""Tell Me Why"" & ""You Can't Do That""",2014-02-11T22:47:20.723Z,500,<i>A Hard Day\'s Night</i>,,18,,90
"{u'updated_at': u'2014-02-11T22:47:21.054Z', u'created_at': u'2014-02-11T22:47:21.054Z', u'id': 20, u'clues_count': 20, u'title': u'comedians'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.122Z,"Comic whose ""Trial by Fire"" fueled his comedy routines",2014-02-11T22:47:21.122Z,100,Richard Pryor,,20,,92
"{u'updated_at': u'2014-02-11T22:47:21.065Z', u'created_at': u'2014-02-11T22:47:21.065Z', u'id': 21, u'clues_count': 260, u'title': u'animals'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.133Z,"""Sly"" creature sought by sportsmen riding to hounds",2014-02-11T22:47:21.133Z,100,a fox,,21,,93
"{u'updated_at': u'2014-02-11T22:47:21.076Z', u'created_at': u'2014-02-11T22:47:21.076Z', u'id': 22, u'clues_count': 20, u'title': u'number please'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.144Z,,2014-02-11T22:47:21.144Z,,a fox,,22,,94
"{u'updated_at': u'2014-02-11T22:47:21.086Z', u'created_at': u'2014-02-11T22:47:21.086Z', u'id': 23, u'clues_count': 70, u'title': u'awards'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.156Z,British decoration named for former queen,2014-02-11T22:47:21.156Z,100,Victoria Cross,,23,,95
"{u'updated_at': u'2014-02-11T22:47:21.096Z', u'created_at': u'2014-02-11T22:47:21.096Z', u'id': 24, u'clues_count': 30, u'title': u'movie trivia'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.168Z,"What Paul Newman's ""Hustler"" hustled",2014-02-11T22:47:21.168Z,100,pool,,24,,96
"{u'updated_at': u'2014-02-11T22:47:21.043Z', u'created_at': u'2014-02-11T22:47:21.043Z', u'id': 19, u'clues_count': 65, u'title': u'landmarks'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.181Z,"De""faced"" by sand & invading armies, it crouches near the Great Pyramids",2014-02-11T22:47:21.181Z,200,the Sphinx,,19,,97
"{u'updated_at': u'2014-02-11T22:47:21.054Z', u'created_at': u'2014-02-11T22:47:21.054Z', u'id': 20, u'clues_count': 20, u'title': u'comedians'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.195Z,"Master of the pause followed by ""Now cut that out!""",2014-02-11T22:47:21.195Z,200,Jack Benny,,20,,98
"{u'updated_at': u'2014-02-11T22:47:21.065Z', u'created_at': u'2014-02-11T22:47:21.065Z', u'id': 21, u'clues_count': 260, u'title': u'animals'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.207Z,"The ""ship of the desert""",2014-02-11T22:47:21.207Z,200,a camel,,21,,99
"{u'updated_at': u'2014-02-11T22:47:21.076Z', u'created_at': u'2014-02-11T22:47:21.076Z', u'id': 22, u'clues_count': 20, u'title': u'number please'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.220Z,,2014-02-11T22:47:21.220Z,,a camel,,22,,100
"{u'updated_at': u'2014-02-11T22:47:21.086Z', u'created_at': u'2014-02-11T22:47:21.086Z', u'id': 23, u'clues_count': 70, u'title': u'awards'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.232Z,Since '32 the U.S. Badge of Military Merit has had this colorful name,2014-02-11T22:47:21.232Z,200,the Purple Heart,,23,,101
"{u'updated_at': u'2014-02-11T22:47:21.096Z', u'created_at': u'2014-02-11T22:47:21.096Z', u'id': 24, u'clues_count': 30, u'title': u'movie trivia'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.244Z,"Subtitled ""How I Learned to Stop Worrying & Love the Bomb""",2014-02-11T22:47:21.244Z,200,<i>Dr. Strangelove</i>,,24,,102
"{u'updated_at': u'2014-02-11T22:47:21.043Z', u'created_at': u'2014-02-11T22:47:21.043Z', u'id': 19, u'clues_count': 65, u'title': u'landmarks'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.255Z,His statue is atop Philadelphia's City Hall,2014-02-11T22:47:21.255Z,300,William Penn,,19,,103
"{u'updated_at': u'2014-02-11T22:47:21.054Z', u'created_at': u'2014-02-11T22:47:21.054Z', u'id': 20, u'clues_count': 20, u'title': u'comedians'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.294Z,"Pat Paulsen ran for president on their controversial ""Comedy Hour""",2014-02-11T22:47:21.294Z,300,the Smothers Brothers,,20,,104
"{u'updated_at': u'2014-02-11T22:47:21.065Z', u'created_at': u'2014-02-11T22:47:21.065Z', u'id': 21, u'clues_count': 260, u'title': u'animals'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.306Z,"The children are poults, the mothers, hens & the fathers,toms",2014-02-11T22:47:21.306Z,300,turkeys,,21,,105
"{u'updated_at': u'2014-02-11T22:47:21.076Z', u'created_at': u'2014-02-11T22:47:21.076Z', u'id': 22, u'clues_count': 20, u'title': u'number please'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.318Z,,2014-02-11T22:47:21.318Z,,turkeys,,22,,106
"{u'updated_at': u'2014-02-11T22:47:21.086Z', u'created_at': u'2014-02-11T22:47:21.086Z', u'id': 23, u'clues_count': 70, u'title': u'awards'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.329Z,This prize did not have an economics category until '69,2014-02-11T22:47:21.329Z,300,the Nobel Prize,,23,,107
"{u'updated_at': u'2014-02-11T22:47:21.096Z', u'created_at': u'2014-02-11T22:47:21.096Z', u'id': 24, u'clues_count': 30, u'title': u'movie trivia'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.340Z,"1949's Best Picture, its title came from ""Humpty Dumpty""",2014-02-11T22:47:21.340Z,300,<i>All the King\'s Men</i>,,24,,108
"{u'updated_at': u'2014-02-11T22:47:21.043Z', u'created_at': u'2014-02-11T22:47:21.043Z', u'id': 19, u'clues_count': 65, u'title': u'landmarks'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.351Z,France's Unknown Soldier lies beneath this Champs-Elysses landmark,2014-02-11T22:47:21.351Z,400,the Arc de Triomphe,,19,,109
"{u'updated_at': u'2014-02-11T22:47:21.054Z', u'created_at': u'2014-02-11T22:47:21.054Z', u'id': 20, u'clues_count': 20, u'title': u'comedians'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.362Z,"After playing the nightclub circuit, he broke into movies with ""What's New, Pussycat?""",2014-02-11T22:47:21.362Z,400,Woody Allen,,20,,110
"{u'updated_at': u'2014-02-11T22:47:21.065Z', u'created_at': u'2014-02-11T22:47:21.065Z', u'id': 21, u'clues_count': 260, u'title': u'animals'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.374Z,Name of the sport of hunting birds with other birds,2014-02-11T22:47:21.374Z,400,falconry,,21,,111
"{u'updated_at': u'2014-02-11T22:47:21.076Z', u'created_at': u'2014-02-11T22:47:21.076Z', u'id': 22, u'clues_count': 20, u'title': u'number please'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.385Z,,2014-02-11T22:47:21.385Z,,falconry,,22,,112
"{u'updated_at': u'2014-02-11T22:47:21.086Z', u'created_at': u'2014-02-11T22:47:21.086Z', u'id': 23, u'clues_count': 70, u'title': u'awards'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.396Z,"26 years after writing it for the stage, he won Oscar for the screenplay ""Pygmalion""",2014-02-11T22:47:21.396Z,400,George Bernard Shaw,,23,,113
"{u'updated_at': u'2014-02-11T22:47:21.096Z', u'created_at': u'2014-02-11T22:47:21.096Z', u'id': 24, u'clues_count': 30, u'title': u'movie trivia'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.407Z,"He sang his way to an Oscar in ""Cabaret"":",2014-02-11T22:47:21.407Z,,Joel Grey,,24,,114
"{u'updated_at': u'2014-02-11T22:47:24.090Z', u'created_at': u'2014-02-11T22:47:24.090Z', u'id': 43, u'clues_count': 20, u'title': u'foreign cuisine'}",1984-12-05T12:00:00.000Z,2014-02-11T22:47:24.467Z,City Wiener Schnitzel is named for,2014-02-11T22:47:24.467Z,400,Vienna,,43,,231
"{u'updated_at': u'2014-02-11T22:47:21.043Z', u'created_at': u'2014-02-11T22:47:21.043Z', u'id': 19, u'clues_count': 65, u'title': u'landmarks'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.419Z,The date on the tablet held by the Statue of Liberty,2014-02-11T22:47:21.419Z,500,"July 4, 1776",,19,,115
"{u'updated_at': u'2014-02-11T22:47:21.054Z', u'created_at': u'2014-02-11T22:47:21.054Z', u'id': 20, u'clues_count': 20, u'title': u'comedians'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.430Z,"Though originally a comic, he was 1st black regular on a U.S. dramatic TV series",2014-02-11T22:47:21.430Z,500,Bill Cosby,,20,,116
"{u'updated_at': u'2014-02-11T22:47:21.065Z', u'created_at': u'2014-02-11T22:47:21.065Z', u'id': 21, u'clues_count': 260, u'title': u'animals'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.441Z,Floating sea creature named by sailors for the Iberian fighting ship it resembles,2014-02-11T22:47:21.441Z,500,the Portuguese man-of-war,,21,,117
"{u'updated_at': u'2014-02-11T22:47:21.076Z', u'created_at': u'2014-02-11T22:47:21.076Z', u'id': 22, u'clues_count': 20, u'title': u'number please'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.452Z,,2014-02-11T22:47:21.452Z,,the Portuguese man-of-war,,22,,118
"{u'updated_at': u'2014-02-11T22:47:21.086Z', u'created_at': u'2014-02-11T22:47:21.086Z', u'id': 23, u'clues_count': 70, u'title': u'awards'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.463Z,"He may disagree with Gene Siskel, but he won '75 Pulitzer Prize for Film Criticism",2014-02-11T22:47:21.463Z,500,Roger Ebert,,23,,119
"{u'updated_at': u'2014-02-11T22:47:21.096Z', u'created_at': u'2014-02-11T22:47:21.096Z', u'id': 24, u'clues_count': 30, u'title': u'movie trivia'}",1984-12-11T12:00:00.000Z,2014-02-11T22:47:21.474Z,"Ironically, he spoke the only word in Mel Brooks' ""Silent Movie""",2014-02-11T22:47:21.474Z,500,Marcel Marceau,,24,,120
"{u'updated_at': u'2014-02-11T22:47:21.788Z', u'created_at': u'2014-02-11T22:47:21.788Z', u'id': 25, u'clues_count': 250, u'title': u'science'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.853Z,A typical snowflake has this many sides,2014-02-11T22:47:21.853Z,100,6,,25,,121
"{u'updated_at': u'2014-02-11T22:47:21.800Z', u'created_at': u'2014-02-11T22:47:21.800Z', u'id': 26, u'clues_count': 125, u'title': u'fashion'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.864Z,"Named for an island, these '50s shorts are fashionable again",2014-02-11T22:47:21.864Z,100,Bermuda shorts,,26,,122
"{u'updated_at': u'2014-02-11T22:47:21.811Z', u'created_at': u'2014-02-11T22:47:21.811Z', u'id': 27, u'clues_count': 30, u'title': u'silly songs'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.876Z,,2014-02-11T22:47:21.876Z,,Bermuda shorts,,27,,123
"{u'updated_at': u'2014-02-11T22:47:21.823Z', u'created_at': u'2014-02-11T22:47:21.823Z', u'id': 28, u'clues_count': 15, u'title': u'presidential firsts'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.887Z,"Though Detective Pinkerton saved him once, he later became 1st assassinated president",2014-02-11T22:47:21.887Z,100,Abraham Lincoln,,28,,124
"{u'updated_at': u'2014-02-11T22:47:18.728Z', u'created_at': u'2014-02-11T22:47:18.728Z', u'id': 4, u'clues_count': 55, u'title': u'movies'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.898Z,"Police equipment featured in ads for Clint Eastwood's ""Tightrope""",2014-02-11T22:47:21.898Z,100,handcuffs,,4,,125
"{u'updated_at': u'2014-02-11T22:47:21.837Z', u'created_at': u'2014-02-11T22:47:21.837Z', u'id': 29, u'clues_count': 5, u'title': u'""andy""'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.910Z,The black & white bear of Walter Lantz cartoons,2014-02-11T22:47:21.910Z,100,Andy Panda,,29,,126
"{u'updated_at': u'2014-02-11T22:47:21.788Z', u'created_at': u'2014-02-11T22:47:21.788Z', u'id': 25, u'clues_count': 250, u'title': u'science'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.921Z,"Common element whose refined forms include pig, cast or wrought",2014-02-11T22:47:21.921Z,200,iron,,25,,127
"{u'updated_at': u'2014-02-11T22:47:21.800Z', u'created_at': u'2014-02-11T22:47:21.800Z', u'id': 26, u'clues_count': 125, u'title': u'fashion'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.933Z,Howard Hughes designed a cantilevered one for voluptuous Jane Russell,2014-02-11T22:47:21.933Z,200,a brassiere,,26,,128
"{u'updated_at': u'2014-02-11T22:47:21.811Z', u'created_at': u'2014-02-11T22:47:21.811Z', u'id': 27, u'clues_count': 30, u'title': u'silly songs'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.944Z,"Kind of people Randy Newman ""don't want"" ""'round here""",2014-02-11T22:47:21.944Z,200,short people,,27,,129
"{u'updated_at': u'2014-02-11T22:47:21.823Z', u'created_at': u'2014-02-11T22:47:21.823Z', u'id': 28, u'clues_count': 15, u'title': u'presidential firsts'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.955Z,"Second U.S. president, he was the 1st defeated for re-election",2014-02-11T22:47:21.955Z,200,John Adams,,28,,130
"{u'updated_at': u'2014-02-11T22:47:18.728Z', u'created_at': u'2014-02-11T22:47:18.728Z', u'id': 4, u'clues_count': 55, u'title': u'movies'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.967Z,"Bo Derek film released unrated so it wouldn't get an ""X""",2014-02-11T22:47:21.967Z,200,<i>Bolero</i>,,4,,131
"{u'updated_at': u'2014-02-11T22:47:21.837Z', u'created_at': u'2014-02-11T22:47:21.837Z', u'id': 29, u'clues_count': 5, u'title': u'""andy""'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.979Z,"""A Family Affair"" was the 1st of 15 films in this Mickey Rooney series",2014-02-11T22:47:21.979Z,200,the Andy Hardy series,,29,,132
"{u'updated_at': u'2014-02-11T22:47:21.788Z', u'created_at': u'2014-02-11T22:47:21.788Z', u'id': 25, u'clues_count': 250, u'title': u'science'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:21.991Z,"After length, width & depth, the 4th dimension",2014-02-11T22:47:21.991Z,300,time,,25,,133
"{u'updated_at': u'2014-02-11T22:47:21.800Z', u'created_at': u'2014-02-11T22:47:21.800Z', u'id': 26, u'clues_count': 125, u'title': u'fashion'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.004Z,"""Edible"" name for a double-breasted wool navy jacket",2014-02-11T22:47:22.004Z,300,a pea jacket,,26,,134
"{u'updated_at': u'2014-02-11T22:47:21.811Z', u'created_at': u'2014-02-11T22:47:21.811Z', u'id': 27, u'clues_count': 30, u'title': u'silly songs'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.017Z,,2014-02-11T22:47:22.017Z,,a pea jacket,,27,,135
"{u'updated_at': u'2014-02-11T22:47:21.823Z', u'created_at': u'2014-02-11T22:47:21.823Z', u'id': 28, u'clues_count': 15, u'title': u'presidential firsts'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.030Z,1st president to refuse a 3rd term,2014-02-11T22:47:22.030Z,300,George Washington,,28,,136
"{u'updated_at': u'2014-02-11T22:47:18.728Z', u'created_at': u'2014-02-11T22:47:18.728Z', u'id': 4, u'clues_count': 55, u'title': u'movies'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.044Z,"""Flashdance"" song whose lyrics were changed to make a mad killer a mad dancer",2014-02-11T22:47:22.044Z,300,"""Maniac""",,4,,137
"{u'updated_at': u'2014-02-11T22:47:21.837Z', u'created_at': u'2014-02-11T22:47:21.837Z', u'id': 29, u'clues_count': 5, u'title': u'""andy""'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.057Z,Reg Smythe's pub-crawling comic strip husband of Flo,2014-02-11T22:47:22.057Z,300,Andy Capp,,29,,138
"{u'updated_at': u'2014-02-11T22:47:21.788Z', u'created_at': u'2014-02-11T22:47:21.788Z', u'id': 25, u'clues_count': 250, u'title': u'science'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.109Z,"Type of organism that lives off of another, contributing nothing",2014-02-11T22:47:22.109Z,400,a parasite,,25,,139
"{u'updated_at': u'2014-02-11T22:47:21.800Z', u'created_at': u'2014-02-11T22:47:21.800Z', u'id': 26, u'clues_count': 125, u'title': u'fashion'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.122Z,Teenagers' tooth wear or what the British call suspenders,2014-02-11T22:47:22.122Z,400,braces,,26,,140
"{u'updated_at': u'2014-02-11T22:47:21.823Z', u'created_at': u'2014-02-11T22:47:21.823Z', u'id': 28, u'clues_count': 15, u'title': u'presidential firsts'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.145Z,,2014-02-11T22:47:22.145Z,,braces,,28,,142
"{u'updated_at': u'2014-02-11T22:47:18.728Z', u'created_at': u'2014-02-11T22:47:18.728Z', u'id': 4, u'clues_count': 55, u'title': u'movies'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.158Z,"Gene Wilder's remake of the '77 French comedy ""Pardon mon Affaire""",2014-02-11T22:47:22.158Z,400,<i>The Woman in Red</i>,,4,,143
"{u'updated_at': u'2014-02-11T22:47:21.837Z', u'created_at': u'2014-02-11T22:47:21.837Z', u'id': 29, u'clues_count': 5, u'title': u'""andy""'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.169Z,Donny Osmond made his debut at the age of 4 on his show,2014-02-11T22:47:22.169Z,400,<i>The Andy Williams Show</i>,,29,,144
"{u'updated_at': u'2014-02-11T22:47:21.788Z', u'created_at': u'2014-02-11T22:47:21.788Z', u'id': 25, u'clues_count': 250, u'title': u'science'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.181Z,Shattering sound that accompanies breaking the sound barrier,2014-02-11T22:47:22.181Z,500,a sonic boom,,25,,145
"{u'updated_at': u'2014-02-11T22:47:21.800Z', u'created_at': u'2014-02-11T22:47:21.800Z', u'id': 26, u'clues_count': 125, u'title': u'fashion'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.192Z,Penitents once wore this rough cloth with ashes,2014-02-11T22:47:22.192Z,500,a sackcloth,,26,,146
"{u'updated_at': u'2014-02-11T22:47:21.811Z', u'created_at': u'2014-02-11T22:47:21.811Z', u'id': 27, u'clues_count': 30, u'title': u'silly songs'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.203Z,,2014-02-11T22:47:22.203Z,,a sackcloth,,27,,147
"{u'updated_at': u'2014-02-11T22:47:21.823Z', u'created_at': u'2014-02-11T22:47:21.823Z', u'id': 28, u'clues_count': 15, u'title': u'presidential firsts'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.215Z,,2014-02-11T22:47:22.215Z,,a sackcloth,,28,,148
"{u'updated_at': u'2014-02-11T22:47:18.728Z', u'created_at': u'2014-02-11T22:47:18.728Z', u'id': 4, u'clues_count': 55, u'title': u'movies'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.228Z,"""Taxi"" reverend who played bad guys in ""Star Trek III"" & ""Buckaroo Banzai""",2014-02-11T22:47:22.228Z,500,Christopher Lloyd,,4,,149
"{u'updated_at': u'2014-02-11T22:47:21.837Z', u'created_at': u'2014-02-11T22:47:21.837Z', u'id': 29, u'clues_count': 5, u'title': u'""andy""'}",1984-12-10T12:00:00.000Z,2014-02-11T22:47:22.240Z,An 8-hour static film of the Empire State Building was done by this pop artist,2014-02-11T22:47:22.240Z,500,Andy Warhol,,29,,150
"{u'updated_at': u'2014-02-11T22:47:20.329Z', u'created_at': u'2014-02-11T22:47:20.329Z', u'id': 17, u'clues_count': 110, u'title': u'u.s. states'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.633Z,The 2 states that don't border any others,2014-02-11T22:47:22.633Z,100,Alaska and Hawaii,,17,,151
"{u'updated_at': u'2014-02-11T22:47:22.573Z', u'created_at': u'2014-02-11T22:47:22.573Z', u'id': 30, u'clues_count': 20, u'title': u'starts with ""b""'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.646Z,Goodyear's gasbag,2014-02-11T22:47:22.646Z,100,the blimp,,30,,152
"{u'updated_at': u'2014-02-11T22:47:22.585Z', u'created_at': u'2014-02-11T22:47:22.585Z', u'id': 31, u'clues_count': 225, u'title': u'the bible'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.657Z,The 2nd book of the Old Testament,2014-02-11T22:47:22.657Z,100,Exodus,,31,,153
"{u'updated_at': u'2014-02-11T22:47:22.596Z', u'created_at': u'2014-02-11T22:47:22.596Z', u'id': 32, u'clues_count': 90, u'title': u'toys & games'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.669Z,"Parker Bros, has made balls, boomerangs & ping pong paddles out of this soft material",2014-02-11T22:47:22.669Z,100,Nerf (or foam rubber),,32,,154
"{u'updated_at': u'2014-02-11T22:47:22.606Z', u'created_at': u'2014-02-11T22:47:22.606Z', u'id': 33, u'clues_count': 5, u'title': u'water sports'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.680Z,"Cypress Gardens show done on water, not on snow",2014-02-11T22:47:22.680Z,100,water skiing,,33,,155
"{u'updated_at': u'2014-02-11T22:47:22.617Z', u'created_at': u'2014-02-11T22:47:22.617Z', u'id': 34, u'clues_count': 15, u'title': u'all that jazz'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.693Z,"What ""Satchmo"" played",2014-02-11T22:47:22.693Z,100,the trumpet,,34,,156
"{u'updated_at': u'2014-02-11T22:47:20.329Z', u'created_at': u'2014-02-11T22:47:20.329Z', u'id': 17, u'clues_count': 110, u'title': u'u.s. states'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.705Z,"The Wolverine State, in 1847 became 1st to abolish capital punishment",2014-02-11T22:47:22.705Z,200,Michigan,,17,,157
"{u'updated_at': u'2014-02-11T22:47:22.573Z', u'created_at': u'2014-02-11T22:47:22.573Z', u'id': 30, u'clues_count': 20, u'title': u'starts with ""b""'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.717Z,Nickname of Gil Gerard's futuristic Capt. William Rogers,2014-02-11T22:47:22.717Z,200,Buck,,30,,158
"{u'updated_at': u'2014-02-11T22:47:22.585Z', u'created_at': u'2014-02-11T22:47:22.585Z', u'id': 31, u'clues_count': 225, u'title': u'the bible'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.728Z,Image of worship built of old jewelry while Moses was on the mountain,2014-02-11T22:47:22.728Z,200,the golden calf,,31,,159
"{u'updated_at': u'2014-02-11T22:47:22.596Z', u'created_at': u'2014-02-11T22:47:22.596Z', u'id': 32, u'clues_count': 90, u'title': u'toys & games'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.739Z,"As scissors beats paper, so paper beats this",2014-02-11T22:47:22.739Z,200,rock (or a stone),,32,,160
"{u'updated_at': u'2014-02-11T22:47:22.606Z', u'created_at': u'2014-02-11T22:47:22.606Z', u'id': 33, u'clues_count': 5, u'title': u'water sports'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.751Z,Fishing from a moving boat,2014-02-11T22:47:22.751Z,200,trolling,,33,,161
"{u'updated_at': u'2014-02-11T22:47:22.617Z', u'created_at': u'2014-02-11T22:47:22.617Z', u'id': 34, u'clues_count': 15, u'title': u'all that jazz'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.763Z,"As Duke Ellington wrote, ""It don't mean a thing if it ain't got"" this",2014-02-11T22:47:22.763Z,200,the swing,,34,,162
"{u'updated_at': u'2014-02-11T22:47:20.329Z', u'created_at': u'2014-02-11T22:47:20.329Z', u'id': 17, u'clues_count': 110, u'title': u'u.s. states'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.774Z,"Region originally called Indian Territory, it now has no Fed. reservations",2014-02-11T22:47:22.774Z,300,Oklahoma,,17,,163
"{u'updated_at': u'2014-02-11T22:47:22.573Z', u'created_at': u'2014-02-11T22:47:22.573Z', u'id': 30, u'clues_count': 20, u'title': u'starts with ""b""'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.786Z,To give by will,2014-02-11T22:47:22.786Z,300,bequeath,,30,,164
"{u'updated_at': u'2014-02-11T22:47:22.596Z', u'created_at': u'2014-02-11T22:47:22.596Z', u'id': 32, u'clues_count': 90, u'title': u'toys & games'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.809Z,Total number of dots on the highest standard domino,2014-02-11T22:47:22.809Z,300,12,,32,,166
"{u'updated_at': u'2014-02-11T22:47:22.606Z', u'created_at': u'2014-02-11T22:47:22.606Z', u'id': 33, u'clues_count': 5, u'title': u'water sports'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.821Z,What an unlucky surfer has just experienced in this song,2014-02-11T22:47:22.821Z,,a wipeout,,33,,167
"{u'updated_at': u'2014-02-11T22:47:20.329Z', u'created_at': u'2014-02-11T22:47:20.329Z', u'id': 17, u'clues_count': 110, u'title': u'u.s. states'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.844Z,Western neighbor of Tenn. & Miss.; it has only diamond field in N. America,2014-02-11T22:47:22.844Z,400,Arkansas,,17,,169
"{u'updated_at': u'2014-02-11T22:47:22.573Z', u'created_at': u'2014-02-11T22:47:22.573Z', u'id': 30, u'clues_count': 20, u'title': u'starts with ""b""'}",1984-12-07T12:00:00.000Z,2014-02-11T22:47:22.855Z,"Quality of a Scot's brogue which makes the ""R"" r-r-r-oll",2014-02-11T22:47:22.855Z,400,a burr,,30,,170
